sys_RespNum,sys_StartTime,sys_EndTime,sys_ElapsedTime,sys_SumPageTimes,sys_StartTimeStamp,sys_EndTimeStamp,sys_DataSource,sys_RespStatus,sys_DispositionCode,sys_LastQuestion,sys_UserJavaScript,sys_UserAgent,sys_OperatingSystem,sys_Browser,sys_IPAddress,sys_ScreenWidth,sys_CAPIDeviceID,sys_CBC_SunscreenCBC1_design,sys_CBC_SunscreenCBC1_design_info,SunscreenCBC1_Rating1_r1,SunscreenCBC1_Rating1_r2,SunscreenCBC1_Rating1_r3,SunscreenCBC1_Rating1_r4,SunscreenCBC1_Rating3_r1,SunscreenCBC1_Rating3_r2,SunscreenCBC1_Rating4_r1,SunscreenCBC1_Rating4_r2,SunscreenCBC1_Rating5_r1,SunscreenCBC1_Rating5_r2,SunscreenCBC1_Rating6_r1,SunscreenCBC1_Rating6_r2,SunscreenCBC1_Rating6_r3,SunscreenCBC1_Choice1,SunscreenCBC1_Choice2,SunscreenCBC1_Choice3,SunscreenCBC1_Choice4,SunscreenCBC1_Choice5,SunscreenCBC1_Choice6,SunscreenCBC1_Choice7,SunscreenCBC1_Choice8,SunscreenCBC1_Choice9,SunscreenCBC1_Choice10,SunscreenCBC1_Choice11,SunscreenCBC1_Choice12,SunscreenCBC1_Choice13,SunscreenCBC1_Choice14,SunscreenCBC1_Choice15,SunscreenCBC1_Choice16,Q7,Q8
1,04 Nov 2018 - 18:59:09 PST,04 Nov 2018 - 19:02:32 PST,0h 3m 23s,0h 3m 19s,1541386749,1541386952,1,5,,Q9,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Safari/605.1.15",Mac OS X 10.13.6,Safari 12.0,2605:e000:1c03:a0b8:a575:d1f3:23b0:685,1375,,"[[1,3,1,2,1,1,3],[2,4,2,1,2,2,1],[3,3,3,2,1,1,2],[4,4,1,1,2,2,2],[5,3,2,2,1,1,1],[6,1,3,1,1,1,3],[7,3,2,1,2,2,3],[8,1,3,2,2,1,2],[9,4,1,2,1,1,3],[10,2,2,1,1,1,1],[11,2,1,2,2,1,2],[12,1,1,1,1,2,3],[13,4,2,2,2,1,3],[14,2,3,1,2,2,2],[15,2,3,2,1,2,2],[16,4,2,2,1,2,1],[17,4,1,2,1,1,2],[18,2,3,1,2,2,3],[19,3,2,1,2,1,3],[20,4,1,1,2,1,1],[21,3,2,2,1,2,2],[22,1,1,2,2,2,1],[23,1,3,1,1,2,3],[24,4,2,1,1,1,1],[25,1,2,2,2,2,1],[26,4,2,1,1,1,2],[27,2,1,1,1,1,1],[28,3,1,2,1,2,1],[29,1,2,1,1,2,2],[30,2,3,2,2,1,3],[31,4,1,2,2,2,3],[32,2,3,1,1,2,3],[33,1,2,1,2,1,2],[34,1,2,2,2,2,1],[35,3,3,1,2,1,2],[36,2,1,1,1,2,2],[37,2,2,2,1,1,1],[38,1,3,1,1,1,3],[39,4,1,1,2,2,2],[40,4,2,2,2,2,3],[41,3,3,2,1,2,2],[42,3,1,1,2,1,1],[43,2,1,2,2,2,1],[44,1,1,2,1,1,3],[45,3,1,1,2,1,1],[46,3,1,1,1,2,1],[47,1,3,2,2,1,2],[48,2,2,2,2,2,3]]","{""atts""=>[[1,4,0],[2,3,1],[3,2,0],[4,2,0],[5,2,0],[6,3,0]],""tasks""=>16,""concepts""=>3,""none""=>1}",2,2,3,3,2,3,3,4,3,4,1,1,3,4,3,1,4,1,4,4,4,4,3,1,4,4,1,2,3,3,3
2,04 Nov 2018 - 18:59:12 PST,04 Nov 2018 - 19:04:40 PST,0h 5m 28s,0h 5m 25s,1541386752,1541387080,1,5,,Q9,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Safari/605.1.15",Mac OS X 10.14,Safari 12.0,104.51.72.193,1440,,"[[1,1,1,2,1,1,1],[2,1,2,1,2,2,3],[3,3,3,2,2,1,2],[4,1,3,2,2,2,3],[5,4,1,1,1,2,1],[6,2,3,2,1,1,2],[7,3,1,2,2,2,3],[8,2,3,2,1,1,2],[9,2,2,1,2,2,1],[10,1,1,1,2,2,1],[11,4,2,2,1,1,3],[12,3,3,1,2,1,2],[13,4,1,1,2,1,1],[14,2,2,1,1,2,2],[15,2,3,2,2,1,3],[16,4,2,2,2,1,2],[17,2,2,2,1,2,1],[18,3,3,1,2,1,3],[19,4,1,1,2,1,2],[20,3,2,2,2,2,1],[21,4,1,2,1,1,3],[22,1,2,1,1,2,2],[23,3,1,1,1,1,1],[24,1,3,2,2,1,2],[25,1,1,2,1,1,3],[26,3,3,1,1,2,2],[27,4,2,1,2,2,3],[28,3,2,2,1,2,1],[29,4,2,1,1,1,3],[30,1,3,1,2,2,2],[31,1,1,2,1,2,1],[32,1,2,1,2,1,1],[33,2,1,1,2,1,1],[34,1,3,2,1,2,2],[35,2,2,1,2,1,3],[36,3,1,2,1,2,3],[37,3,3,1,1,2,3],[38,1,2,2,1,1,1],[39,4,2,2,2,2,2],[40,1,3,1,1,1,3],[41,2,1,2,2,2,2],[42,2,1,1,1,1,2],[43,4,1,1,1,2,1],[44,2,3,2,2,2,3],[45,3,2,1,1,1,2],[46,4,1,2,2,2,2],[47,2,3,1,1,2,3],[48,3,2,2,2,1,1]]","{""atts""=>[[1,4,0],[2,3,1],[3,2,0],[4,2,0],[5,2,0],[6,3,0]],""tasks""=>16,""concepts""=>3,""none""=>1}",1,2,1,2,1,3,2,1,1,3,1,3,2,4,2,4,4,4,2,4,4,4,1,4,1,4,2,4,1,3,3
3,04 Nov 2018 - 19:00:02 PST,04 Nov 2018 - 19:07:53 PST,0h 7m 51s,0h 7m 49s,1541386802,1541387273,1,5,,Q9,1,"Mozilla/5.0 (Linux; Android 8.0.0; SM-G960U Build/R16NW) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.126 Mobile Safari/537.36",Android 8.0.0,Chrome 66.0.3359.126,2607:fb90:321b:cfe5:1d86:45a3:52d1:4bce,360,,"[[1,3,2,2,1,1,2],[2,1,3,1,2,2,3],[3,4,1,2,1,1,1],[4,2,1,1,1,1,1],[5,1,3,1,1,1,2],[6,1,3,2,2,2,3],[7,4,2,2,2,1,1],[8,4,1,1,1,2,2],[9,2,3,1,2,2,3],[10,2,2,2,1,1,1],[11,1,1,2,1,2,2],[12,2,3,1,2,1,3],[13,3,1,1,2,2,1],[14,1,1,1,2,2,1],[15,1,1,2,1,1,3],[16,4,2,1,2,2,2],[17,3,1,2,2,1,3],[18,2,3,2,1,1,2],[19,2,1,2,1,2,1],[20,3,3,2,2,2,2],[21,4,2,1,2,1,3],[22,3,3,1,1,2,2],[23,1,2,2,2,1,1],[24,2,2,1,1,1,3],[25,2,2,2,2,1,3],[26,3,1,1,1,1,3],[27,2,3,2,1,2,2],[28,3,3,1,2,1,2],[29,4,2,2,1,2,3],[30,1,1,2,2,2,2],[31,4,1,1,1,1,1],[32,3,2,1,2,2,1],[33,3,3,2,1,2,3],[34,3,2,2,2,1,1],[35,1,2,1,1,2,1],[36,4,1,1,2,1,2],[37,1,3,1,1,1,3],[38,2,2,2,2,2,2],[39,4,1,2,2,2,1],[40,1,3,2,2,1,2],[41,3,2,1,1,2,1],[42,2,1,1,2,2,3],[43,4,1,2,2,1,1],[44,3,3,2,1,2,3],[45,4,2,1,1,2,2],[46,4,2,2,1,2,3],[47,2,3,1,2,1,2],[48,1,2,1,1,1,2]]","{""atts""=>[[1,4,0],[2,3,1],[3,2,0],[4,2,0],[5,2,0],[6,3,0]],""tasks""=>16,""concepts""=>3,""none""=>1}",2,2,2,4,2,4,2,3,3,4,3,3,3,1,1,3,1,1,3,1,1,1,1,2,1,1,1,2,2,4,3
4,04 Nov 2018 - 19:01:13 PST,04 Nov 2018 - 19:06:29 PST,0h 5m 16s,0h 5m 14s,1541386873,1541387189,1,5,,Q9,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134",Windows 10.0,Edge 17.17134,2600:1700:89d0:1f50:346b:fbd4:aa3:972c,1024,,"[[1,2,3,1,2,1,2],[2,4,1,2,1,2,1],[3,1,2,1,1,2,1],[4,4,2,1,1,1,1],[5,4,1,2,2,2,2],[6,1,3,2,2,1,3],[7,1,2,1,2,2,1],[8,2,3,2,1,2,2],[9,3,1,2,2,1,3],[10,1,1,1,2,2,2],[11,2,2,1,1,1,1],[12,1,3,2,1,1,2],[13,4,1,1,2,2,3],[14,1,3,2,1,1,2],[15,3,3,1,2,2,2],[16,2,1,1,2,1,1],[17,3,3,2,1,2,3],[18,3,2,2,2,1,2],[19,3,2,2,2,2,1],[20,3,3,1,2,1,2],[21,4,2,2,1,1,3],[22,1,1,2,2,1,1],[23,3,3,1,1,2,3],[24,4,2,2,1,2,2],[25,2,2,1,1,2,2],[26,4,1,1,2,1,3],[27,3,1,2,1,1,1],[28,4,2,1,2,1,3],[29,2,1,2,2,1,1],[30,3,3,1,1,2,2],[31,2,3,2,2,2,3],[32,2,1,1,1,2,1],[33,4,2,1,2,1,2],[34,4,2,2,2,1,1],[35,1,1,1,1,2,1],[36,3,3,1,1,1,3],[37,4,1,1,1,2,1],[38,2,2,2,2,2,3],[39,3,1,1,1,1,2],[40,1,1,2,1,1,2],[41,1,3,1,2,2,3],[42,2,3,2,1,1,3],[43,3,2,2,2,2,1],[44,2,2,1,1,1,3],[45,4,1,2,1,2,3],[46,1,2,1,2,2,3],[47,2,3,2,2,2,2],[48,1,2,2,1,1,3]]","{""atts""=>[[1,4,0],[2,3,1],[3,2,0],[4,2,0],[5,2,0],[6,3,0]],""tasks""=>16,""concepts""=>3,""none""=>1}",3,3,2,2,2,2,2,2,1,2,3,2,3,1,1,1,2,3,3,3,2,1,1,1,3,2,2,1,1,4,2
5,04 Nov 2018 - 19:01:44 PST,04 Nov 2018 - 19:06:27 PST,0h 4m 43s,0h 4m 37s,1541386904,1541387187,1,5,,Q9,1,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",Windows 7,Chrome 69.0.3497.100,2600:1700:5170:5120:5ae:75df:5dc3:7969,1920,,"[[1,4,2,2,1,1,2],[2,1,1,1,2,2,1],[3,3,3,1,1,1,3],[4,1,1,1,1,2,1],[5,3,2,2,2,1,1],[6,2,2,1,1,2,1],[7,4,1,2,1,2,1],[8,4,2,2,1,2,3],[9,2,3,1,2,1,2],[10,3,2,2,1,2,3],[11,3,2,1,2,2,1],[12,2,3,1,2,1,2],[13,3,3,1,1,2,2],[14,2,2,2,1,1,1],[15,4,1,1,2,2,3],[16,1,3,2,1,2,3],[17,3,2,2,2,1,3],[18,4,1,1,2,2,2],[19,2,1,2,1,2,1],[20,3,3,1,1,2,2],[21,1,2,1,2,1,2],[22,4,1,2,1,1,1],[23,1,3,2,2,2,3],[24,4,2,1,1,2,2],[25,2,2,1,2,2,1],[26,2,3,2,2,2,3],[27,4,1,1,1,1,2],[28,4,2,1,2,1,1],[29,2,1,2,2,2,2],[30,1,3,2,1,1,3],[31,1,2,1,1,2,1],[32,1,3,2,1,1,2],[33,4,1,1,2,1,3],[34,1,1,2,2,2,3],[35,2,2,1,1,1,3],[36,3,1,1,2,1,1],[37,4,2,2,2,1,1],[38,3,3,1,2,2,3],[39,3,1,2,1,1,2],[40,1,1,2,1,1,1],[41,4,2,2,2,2,2],[42,3,1,1,1,1,3],[43,2,1,2,2,1,1],[44,1,2,1,2,1,3],[45,2,3,2,1,2,2],[46,1,3,2,2,1,2],[47,2,3,1,1,1,3],[48,3,3,2,2,2,2]]","{""atts""=>[[1,4,0],[2,3,1],[3,2,0],[4,2,0],[5,2,0],[6,3,0]],""tasks""=>16,""concepts""=>3,""none""=>1}",3,3,3,2,2,3,2,3,2,3,3,3,2,4,2,3,2,2,4,2,2,1,1,1,3,1,2,3,3,3,2
6,04 Nov 2018 - 19:02:13 PST,04 Nov 2018 - 19:05:40 PST,0h 3m 27s,0h 3m 23s,1541386933,1541387140,1,5,,Q9,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",Mac OS X 10.13.6,Chrome 69.0.3497.100,2605:e000:84e8:de00:2547:3d03:3cf5:4a0,1440,,"[[1,3,3,1,2,2,2],[2,2,2,2,1,1,2],[3,2,1,2,1,2,1],[4,4,1,1,2,2,3],[5,1,3,2,1,1,3],[6,2,2,1,1,1,1],[7,3,3,2,1,2,2],[8,2,2,1,2,1,3],[9,4,1,2,2,1,1],[10,1,2,1,1,2,2],[11,2,3,2,2,1,3],[12,4,1,2,1,2,1],[13,3,3,2,1,1,2],[14,1,3,1,1,2,3],[15,1,1,1,2,1,3],[16,4,2,1,1,1,2],[17,2,3,2,1,2,3],[18,2,3,2,2,2,2],[19,1,3,2,2,1,2],[20,2,1,1,2,2,1],[21,4,2,1,1,2,3],[22,1,2,2,1,1,1],[23,1,3,1,2,2,2],[24,3,1,2,2,2,3],[25,1,1,1,1,1,1],[26,2,3,1,2,1,2],[27,4,2,2,1,2,3],[28,3,2,2,2,1,1],[29,3,1,2,1,1,2],[30,2,3,1,1,2,3],[31,1,3,2,1,1,3],[32,3,1,1,2,2,1],[33,2,2,1,2,2,2],[34,1,1,2,2,2,2],[35,2,1,2,1,2,1],[36,4,1,1,2,1,1],[37,4,1,2,2,1,2],[38,3,3,1,2,1,3],[39,3,2,1,1,2,1],[40,1,2,2,2,2,1],[41,3,2,2,2,1,3],[42,4,1,1,1,1,2],[43,3,1,1,1,1,3],[44,3,3,1,1,2,2],[45,4,2,2,2,2,3],[46,1,2,1,2,1,2],[47,2,1,1,1,1,1],[48,4,2,2,2,2,1]]","{""atts""=>[[1,4,0],[2,3,1],[3,2,0],[4,2,0],[5,2,0],[6,3,0]],""tasks""=>16,""concepts""=>3,""none""=>1}",2,2,3,2,2,3,2,3,1,3,1,3,3,1,1,3,3,1,1,3,3,3,2,1,3,1,3,3,3,3,2
7,04 Nov 2018 - 19:02:19 PST,04 Nov 2018 - 19:06:10 PST,0h 3m 51s,0h 3m 50s,1541386939,1541387170,1,5,,Q9,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36",Mac OS X 10.14.0,Chrome 70.0.3538.77,66.27.66.116,1095,,"[[1,4,1,1,2,2,2],[2,3,3,2,1,1,3],[3,2,2,1,2,2,1],[4,4,1,2,1,1,1],[5,3,1,1,1,2,2],[6,2,2,1,2,1,1],[7,1,2,2,2,1,1],[8,4,2,1,2,2,3],[9,1,3,2,1,2,2],[10,1,3,1,2,2,3],[11,4,2,1,1,2,1],[12,3,1,2,2,1,3],[13,4,1,2,2,1,2],[14,1,3,1,2,2,3],[15,4,2,2,1,2,1],[16,2,1,2,1,2,2],[17,3,3,1,2,1,2],[18,3,2,1,1,2,3],[19,2,2,1,2,2,2],[20,4,2,2,1,2,3],[21,2,1,2,1,1,1],[22,4,1,1,2,2,1],[23,3,2,2,2,2,2],[24,1,3,1,1,1,3],[25,1,1,2,2,2,1],[26,3,3,2,1,1,3],[27,1,3,1,2,1,2],[28,2,3,2,2,2,3],[29,3,2,1,1,1,1],[30,4,1,2,2,1,3],[31,1,2,2,2,1,1],[32,2,1,1,1,1,2],[33,3,2,2,1,2,3],[34,3,1,2,2,2,1],[35,2,3,1,2,1,3],[36,4,2,1,1,1,2],[37,1,1,1,1,1,3],[38,2,3,1,1,1,2],[39,3,3,2,2,2,2],[40,4,1,1,1,2,3],[41,1,3,2,1,2,2],[42,4,2,2,2,1,2],[43,1,1,1,1,2,1],[44,2,3,2,1,1,2],[45,3,1,1,2,1,1],[46,2,1,2,1,2,1],[47,2,3,2,2,1,3],[48,1,2,1,1,1,2]]","{""atts""=>[[1,4,0],[2,3,1],[3,2,0],[4,2,0],[5,2,0],[6,3,0]],""tasks""=>16,""concepts""=>3,""none""=>1}",3,3,3,3,2,3,2,3,2,3,2,2,3,2,3,3,1,3,2,2,2,2,1,1,2,3,2,2,2,4,2
8,04 Nov 2018 - 19:02:29 PST,04 Nov 2018 - 19:06:27 PST,0h 3m 58s,0h 3m 56s,1541386949,1541387187,1,5,,Q9,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36",Windows 10.0,Chrome 70.0.3538.77,2600:1700:8920:5ad8:68d7:7338:1f82:972d,1920,,"[[1,4,2,1,1,1,2],[2,1,1,1,2,2,3],[3,3,3,2,1,2,3],[4,1,2,2,1,2,1],[5,4,2,1,2,1,2],[6,2,1,2,1,1,1],[7,1,2,2,2,2,1],[8,3,3,1,2,1,3],[9,1,3,2,1,1,3],[10,3,2,1,2,2,1],[11,2,2,2,2,1,2],[12,4,1,2,1,2,3],[13,3,1,2,1,2,2],[14,1,2,1,2,2,1],[15,1,3,2,2,1,2],[16,1,1,1,1,1,2],[17,3,2,2,2,2,1],[18,2,3,1,1,2,2],[19,2,1,2,1,2,1],[20,3,2,2,2,1,3],[21,2,3,1,2,2,3],[22,3,1,2,1,1,1],[23,4,2,1,1,1,3],[24,3,3,1,2,2,2],[25,4,1,1,2,2,2],[26,2,3,2,1,2,3],[27,4,2,2,2,1,1],[28,4,1,2,2,2,2],[29,2,2,1,2,1,1],[30,3,3,1,1,1,3],[31,4,1,1,1,2,1],[32,1,3,2,1,1,2],[33,2,1,1,2,1,3],[34,3,1,1,2,1,1],[35,4,2,2,1,1,3],[36,2,3,2,2,2,2],[37,1,1,1,2,1,1],[38,2,2,2,1,1,2],[39,2,2,1,1,2,3],[40,2,1,1,1,1,1],[41,1,3,1,1,2,2],[42,1,1,2,2,2,3],[43,4,2,1,1,2,1],[44,1,3,1,1,1,3],[45,3,3,2,2,1,2],[46,3,2,1,1,2,2],[47,2,3,2,2,2,3],[48,4,1,2,2,1,3]]","{""atts""=>[[1,4,0],[2,3,1],[3,2,0],[4,2,0],[5,2,0],[6,3,0]],""tasks""=>16,""concepts""=>3,""none""=>1}",2,2,3,1,2,2,2,3,2,2,2,2,2,3,1,2,1,3,3,3,3,2,3,2,3,4,2,3,2,3,3
9,04 Nov 2018 - 19:03:39 PST,04 Nov 2018 - 19:07:30 PST,0h 3m 51s,0h 3m 48s,1541387019,1541387250,1,5,,Q9,1,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:63.0) Gecko/20100101 Firefox/63.0,Windows 10.0,Firefox 63.0,2605:e000:23c3:2f00:c025:42a8:aa6c:735a,1366,,"[[1,2,2,1,2,2,3],[2,3,1,2,1,2,1],[3,3,2,1,1,1,2],[4,1,1,2,2,1,2],[5,2,1,1,2,2,1],[6,1,3,1,1,2,2],[7,3,2,1,2,1,1],[8,2,1,2,2,2,2],[9,3,3,2,1,2,3],[10,2,1,2,1,1,2],[11,4,1,1,2,1,3],[12,3,2,2,1,2,3],[13,4,2,2,2,2,1],[14,2,3,1,1,1,2],[15,1,3,1,1,1,3],[16,4,1,2,1,1,1],[17,1,3,1,2,2,3],[18,3,2,2,2,1,2],[19,3,2,2,2,1,1],[20,1,3,2,2,2,2],[21,4,1,1,1,2,3],[22,1,1,2,1,1,1],[23,2,1,1,2,2,1],[24,1,3,2,1,2,2],[25,1,2,2,2,1,1],[26,2,3,2,1,1,3],[27,2,3,1,2,2,2],[28,2,2,2,1,2,1],[29,3,3,2,2,2,3],[30,4,1,1,2,1,2],[31,4,1,1,1,2,2],[32,2,3,2,2,1,3],[33,1,2,1,1,1,3],[34,2,1,1,1,1,1],[35,2,3,2,2,1,3],[36,1,2,1,2,2,3],[37,4,1,2,2,1,3],[38,3,3,1,1,2,2],[39,2,2,2,1,2,2],[40,4,2,1,1,1,1],[41,3,3,1,2,1,2],[42,1,1,2,1,2,3],[43,4,2,2,1,2,2],[44,3,3,1,1,1,3],[45,1,1,1,2,1,1],[46,4,2,2,2,1,2],[47,4,2,1,1,2,1],[48,3,1,1,2,2,1]]","{""atts""=>[[1,4,0],[2,3,1],[3,2,0],[4,2,0],[5,2,0],[6,3,0]],""tasks""=>16,""concepts""=>3,""none""=>1}",3,3,2,1,3,2,1,3,3,2,4,3,2,1,2,1,3,2,3,1,2,2,2,3,2,2,2,2,2,3,2
10,04 Nov 2018 - 19:04:42 PST,04 Nov 2018 - 19:09:32 PST,0h 4m 50s,0h 4m 46s,1541387082,1541387372,1,5,,Q9,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36",Mac OS X 10.11.6,Chrome 70.0.3538.77,172.58.56.39,1229,,"[[1,3,3,2,2,1,2],[2,4,2,1,1,2,1],[3,4,2,1,1,2,3],[4,3,3,1,2,1,3],[5,2,1,2,1,2,1],[6,4,2,2,1,1,2],[7,1,1,1,1,2,2],[8,4,2,2,1,2,2],[9,1,1,1,2,1,1],[10,1,2,2,2,1,1],[11,3,1,2,1,1,3],[12,4,1,1,2,2,2],[13,3,3,1,2,1,2],[14,4,1,2,2,1,3],[15,2,2,1,1,2,1],[16,1,1,1,1,1,1],[17,4,2,1,2,2,3],[18,3,2,2,1,1,1],[19,2,1,1,2,1,1],[20,2,2,2,2,2,2],[21,1,3,2,1,2,3],[22,2,3,1,1,1,2],[23,4,1,1,2,2,1],[24,1,3,2,2,2,3],[25,3,1,2,2,2,2],[26,3,2,1,1,1,3],[27,4,1,2,1,1,3],[28,3,1,2,1,2,1],[29,1,2,1,2,2,2],[30,1,3,2,1,1,3],[31,2,3,2,2,2,3],[32,3,3,1,1,2,2],[33,4,2,1,2,1,3],[34,2,3,2,1,1,3],[35,3,2,1,2,2,1],[36,4,1,1,1,1,2],[37,1,1,1,1,1,2],[38,2,2,2,2,1,1],[39,1,3,2,1,2,2],[40,1,1,2,2,1,1],[41,2,3,1,2,1,3],[42,3,2,2,1,2,1],[43,2,1,1,1,2,3],[44,1,2,1,2,1,2],[45,2,3,2,2,2,2],[46,4,1,2,2,2,1],[47,3,3,1,2,2,3],[48,2,2,2,1,1,2]]","{""atts""=>[[1,4,0],[2,3,1],[3,2,0],[4,2,0],[5,2,0],[6,3,0]],""tasks""=>16,""concepts""=>3,""none""=>1}",1,2,3,3,3,3,1,3,1,3,1,3,1,1,1,4,4,1,3,4,4,4,4,2,2,4,3,4,3,2,2
